COD_CAT;REF_PROD
17;1
9999;2
9999;3
9999;4
9999;5
17;7
17;9
16;10
9999;11
16;12
16;13
17;15
17;16
16;17
9999;18
9999;19
9999;21
9999;23
9999;24
9999;25
9999;26
9999;27
9999;29
9999;30
9999;31
9999;32
9999;33
14;34
15;35
9999;36
15;37
9999;38
18;40
16;41
15;43
9999;44
9999;45
18;47
18;48
18;49
15;50
9999;51
9999;52
15;54
15;56
15;57
16;58
16;59
15;60
15;62
15;66
9999;67
17;76
16;77
15;84
14;88
18;91
15;93
15;94
15;95
16;96
16;97
15;99
15;100
15;109
15;110
15;111
15;112
15;113
15;114
15;115
15;116
15;118
15;119
15;122
15;123
15;124
15;125
15;127
16;128
18;130
17;133
15;134
15;136
18;138
15;145
15;148
16;149
18;151
15;153
17;155
18;156
18;160
16;161
15;162
9999;164
18;165
18;169
16;171
16;172
15;174
15;176
16;177
16;182
16;187
16;189
17;191
16;193
14;194
16;195
16;196
16;197
16;198
16;199
16;201
16;202
15;207
16;213
15;215
18;218
16;219
18;221
18;222
16;223
16;225
16;230
15;233
14;234
14;235
16;236
16;239
18;242
16;243
16;245
14;246
16;248
16;249
16;250
16;254
16;257
16;258
16;261
16;267
16;268
16;269
15;274
16;277
16;284
16;285
16;286
15;303
16;305
16;307
16;308
16;309
16;313
18;320
15;330
15;331
15;332
15;333
15;334
15;346
15;347
15;349
15;350
15;351
15;368
15;369
15;370
15;371
14;373
16;379
15;383
15;384
15;385
15;386
15;388
15;389
15;390
15;391
15;393
15;395
15;396
15;397
15;398
15;399
15;400
15;402
15;408
15;409
15;410
15;419
15;420
15;421
14;452
16;456
16;459
16;461
16;473
16;476
16;479
16;490
16;491
15;492
15;493
16;494
16;497
16;498
15;499
16;500
15;501
17;502
17;503
15;504
16;519
16;532
16;534
15;537
15;538
15;540
16;541
15;550
15;556
15;563
15;581
16;586
16;587
16;588
16;590
16;591
16;592
16;593
15;614
15;617
18;623
15;624
15;630
15;632
17;635
17;636
17;638
15;641
16;643
15;645
15;646
15;647
15;648
16;650
15;651
15;653
15;658
14;659
14;661
14;662
15;663
15;664
18;682
14;687
16;688
16;693
16;704
16;706
16;709
18;715
16;717
18;721
15;722
16;723
18;725
17;727
17;729
17;730
15;731
15;734
15;735
18;739
16;744
16;747
15;753
18;760
16;761
16;765
15;768
18;769
16;770
17;771
16;780
18;781
16;788
14;793
17;799
18;800
18;804
18;809
15;810
18;811
14;813
18;814
17;815
15;816
18;818
18;820
18;821
15;822
18;823
18;824
16;825
18;826
17;827
16;828
16;830
18;831
18;832
17;833
16;834
17;835
17;836
16;837
16;841
18;842
18;843
18;848
16;849
16;851
15;853
15;857
16;859
16;860
16;867
16;868
17;869
16;871
16;876
16;878
16;882
14;887
16;889
16;900
15;902
15;903
15;904
15;915
15;917
15;927
14;930
16;932
16;934
18;935
16;938
16;949
18;950
15;952
18;953
15;954
18;956
18;957
18;958
18;960
18;961
18;963
18;965
16;966
18;968
18;972
18;973
16;974
16;975
18;976
16;977
15;979
16;981
15;986
15;987
16;988
16;994
16;995
17;997
16;1008
17;1009
17;1011
17;1014
15;1017
16;1023
14;1026
15;1030
15;1039
15;1054
15;1057
17;1059
16;1063
17;1064
16;1065
16;1069
15;1071
15;1073
15;1074
16;1076
16;1077
15;1078
16;1081
16;1084
16;1085
16;1086
16;1088
16;1089
16;1090
16;1091
15;1094
16;1095
15;1098
16;1105
17;1106
16;1107
16;1112
16;1123
16;1129
16;1130
16;1136
15;1138
16;1141
16;1142
15;1143
15;1145
16;1146
15;1147
15;1149
16;1150
16;1170
16;1171
15;1180
18;1183
16;1191
16;1194
16;1197
16;1200
16;1203
16;1206
16;1207
15;1209
15;1210
16;1222
14;1224
16;1225
15;1241
17;1255
16;1264
17;1276
14;1286
18;1287
16;1290
16;1292
16;1303
16;1304
16;1308
16;1312
14;1313
15;1317
14;1325
14;1330
18;1332
16;1334
16;1337
14;1339
14;1343
14;1344
14;1347
15;1348
14;1349
14;1350
14;1351
16;1352
14;1354
15;1357
15;1360
16;1361
15;1363
14;1364
15;1365
15;1369
16;1370
18;1372
14;1373
17;1375
16;1376
16;1377
14;1379
14;1380
14;1381
14;1382
14;1383
14;1384
16;1385
14;1386
14;1387
16;1388
15;1390
15;1395
16;1396
16;1399
9999;1404
15;1406
9999;1407
16;1411
18;1413
15;1417
15;1421
16;1433
16;1434
16;1435
16;1436
16;1437
16;1439
16;1440
16;1441
16;1446
9999;1452
18;1466
16;1470
15;1475
15;1486
14;1493
9999;1496
9999;1498
16;1499
15;1502
16;1503
9999;1507
16;1509
16;1511
16;1512
16;1513
15;1515
17;1520
17;1521
17;1522
16;1525
18;1528
16;1530
9999;1531
15;1532
15;1533
15;1534
15;1540
15;1541
16;1544
16;1545
18;1547
16;1558
16;1566
16;1575
15;1576
16;1577
16;1580
16;1581
17;1582
16;1583
16;1584
15;1586
16;1588
18;1589
14;1591
14;1594
14;1595
16;1604
14;1608
15;1618
16;1623
16;1629
15;1630
17;1631
17;1632
15;1638
16;1639
16;1640
16;1641
17;1642
16;1645
9999;1646
15;1664
15;1667
15;1668
15;1671
9999;1677
14;1682
15;1683
15;1685
14;1689
15;1695
15;1698
16;1701
15;1706
15;1707
16;1713
16;1715
15;1716
14;1721
16;1725
15;1727
16;1729
17;1730
15;1732
15;1733
9999;1735
15;1736
14;1737
15;1739
15;1741
18;1745
16;1748
14;1754
15;1757
14;1758
14;1761
14;1763
15;1764
15;1765
15;1766
14;1767
14;1768
17;1769
14;1773
15;1774
15;1776
14;1778
14;1782
14;1783
14;1785
14;1786
16;1795
16;1796
14;1799
14;1800
18;1801
14;1802
16;1803
16;1808
15;1812
16;1813
16;1831
17;1835
17;1836
16;1841
9999;1842
16;1845
16;1865
17;1870
18;1874
15;1875
15;1876
15;1878
15;1879
17;1883
16;1889
15;1897
15;1898
15;1899
15;1902
15;1903
15;1904
15;1906
15;1908
15;1909
15;1911
15;1916
16;1924
16;1925
16;1927
16;1928
16;1929
17;1938
17;1953
18;1956
18;1958
16;1959
16;1960
18;1961
17;1963
17;1965
15;1972
18;1973
15;1983
17;1984
15;1986
18;1992
18;1993
15;1994
18;1995
17;1997
15;1998
18;1999
14;2000
15;2003
17;2004
15;2005
17;2006
18;2007
16;2008
18;2009
15;2010
18;2012
18;2013
18;2014
16;2015
15;2016
18;2018
15;2019
15;2020
15;2022
18;2023
16;2026
18;2029
16;2030
16;2031
16;2032
16;2033
16;2034
15;2038
16;2040
16;2041
9999;2049
16;2051
16;2052
18;2061
16;2062
16;2063
15;2067
15;2068
16;2069
16;2070
15;2071
16;2072
15;2080
15;2081
15;2086
18;2104
16;2119
16;2120
16;2129
16;2134
